instance,optic-status,optic-quality,aries-optic-status,aries-optic-quality,lpg-status,lpg-quality,aries-lpg-status,aries-lpg-quality,aries-status,aries-quality
rcpsp:3,SOLVED,70.15,SOLVED,47.11,SOLVED,47.12,SOLVED,47.11,SOLVED,47.11
rcpsp:30,SOLVED,233.52,SOLVED,120.22,SOLVED,153.32,SOLVED,123.26,SOLVED,119.21
rcpsp:4,SOLVED,91.16,SOLVED,62.08,SOLVED,62.11,SOLVED,62.08,SOLVED,62.08
rcpsp:5,SOLVED,56.15,SOLVED,39.1,SOLVED,40.11,SOLVED,39.1,SOLVED,39.1
rcpsp:6,SOLVED,56.14,SOLVED,48.11,SOLVED,48.12,SOLVED,48.11,SOLVED,48.11
rcpsp:7,SOLVED,62.14,SOLVED,60.1,SOLVED,60.11,SOLVED,60.1,SOLVED,60.1
rcpsp:8,SOLVED,69.12,SOLVED,53.1,SOLVED,55.15,SOLVED,53.1,SOLVED,53.1
rcpsp:9,SOLVED,64.13,SOLVED,49.11,SOLVED,52.11,SOLVED,49.11,SOLVED,49.11
rovers:1,SOLVED,57.06,SOLVED,53.02,SOLVED,67.06,SOLVED,53.02,SOLVED,53.02
rovers:10,SOLVED,710.12,SOLVED,133.11,SOLVED,133.11,SOLVED,133.11,SOLVED,392.05
rovers:11,SOLVED,871.16,SOLVED,261.07,SOLVED,287.12,SOLVED,315.08,SOLVED,392.11
rovers:12,SOLVED,90.07,SOLVED,88.07,SOLVED,88.07,SOLVED,88.07,SOLVED,88.07
rovers:13,SOLVED,634.15,SOLVED,634.15,SOLVED,330.13,SOLVED,330.13,TIMEOUT,
rovers:14,TIMEOUT,,TIMEOUT,,SOLVED,265.08,SOLVED,1702.41,SOLVED,267.06
rovers:15,TIMEOUT,,TIMEOUT,,SOLVED,370.17,SOLVED,370.17,TIMEOUT,
rovers:16,TIMEOUT,,TIMEOUT,,SOLVED,397.14,SOLVED,397.14,TIMEOUT,
rovers:17,TIMEOUT,,TIMEOUT,,SOLVED,564.17,SOLVED,564.17,TIMEOUT,
rovers:18,TIMEOUT,,TIMEOUT,,SOLVED,142.11,SOLVED,142.11,TIMEOUT,
rovers:19,TIMEOUT,,TIMEOUT,,SOLVED,865.21,SOLVED,865.21,TIMEOUT,
rovers:2,SOLVED,43.04,SOLVED,43.03,SOLVED,47.04,SOLVED,43.03,SOLVED,43.03
rovers:20,TIMEOUT,,TIMEOUT,,SOLVED,1056.28,SOLVED,1056.28,TIMEOUT,
rovers:3,SOLVED,53.03,SOLVED,62.02,SOLVED,62.03,SOLVED,53.03,SOLVED,53.03
rovers:4,SOLVED,45.03,SOLVED,45.03,SOLVED,50.03,SOLVED,45.03,SOLVED,45.03
rovers:5,SOLVED,125.11,SOLVED,93.07,SOLVED,97.07,SOLVED,93.07,SOLVED,93.07
rovers:6,TIMEOUT,,TIMEOUT,,SOLVED,569.16,SOLVED,1680.25,TIMEOUT,
rovers:7,SOLVED,78.05,SOLVED,73.06,SOLVED,73.06,SOLVED,73.06,SOLVED,73.06
rovers:8,SOLVED,534.15,SOLVED,301.06,SOLVED,105.08,SOLVED,105.08,SOLVED,143.12
rovers:9,TIMEOUT,,TIMEOUT,,SOLVED,454.1,SOLVED,1187.27,TIMEOUT,
satellite:1,SOLVED,133.04,SOLVED,133.04,SOLVED,133.04,SOLVED,133.04,SOLVED,133.04
satellite:10,SOLVED,141.13,SOLVED,141.13,SOLVED,90.02,SOLVED,127.02,SOLVED,135.01
satellite:11,SOLVED,158.05,SOLVED,158.05,SOLVED,146.02,SOLVED,141.01,SOLVED,177.01
satellite:12,SOLVED,181.17,SOLVED,181.17,SOLVED,164.02,SOLVED,159.02,SOLVED,409.02
satellite:13,SOLVED,200.19,SOLVED,200.19,SOLVED,472.01,SOLVED,251.03,SOLVED,533.03
satellite:14,TIMEOUT,,TIMEOUT,,SOLVED,202.02,SOLVED,239.01,SOLVED,246.01
satellite:15,TIMEOUT,,TIMEOUT,,SOLVED,143.04,SOLVED,177.01,SOLVED,414.03
satellite:16,TIMEOUT,,TIMEOUT,,SOLVED,200.02,SOLVED,157.04,SOLVED,444.01
satellite:17,SOLVED,88.11,SOLVED,88.11,SOLVED,164.01,SOLVED,172.03,SOLVED,474.01
satellite:18,SOLVED,86.08,SOLVED,86.08,SOLVED,118.02,SOLVED,106.0,SOLVED,180.01
satellite:19,TIMEOUT,,TIMEOUT,,SOLVED,153.03,SOLVED,225.03,SOLVED,517.08
satellite:2,SOLVED,212.06,SOLVED,157.06,SOLVED,158.06,SOLVED,158.04,SOLVED,158.04
satellite:20,TIMEOUT,,TIMEOUT,,SOLVED,273.02,SOLVED,630.03,TIMEOUT,
